Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
home,52,131,103,522,60.82,0.000%,6.62420,247.02,61.77,38186.1
predefinedDate,3,121,113,128,6.16,0.000%,1.83711,52.20,17.21,29096.0
randomPageParseRandom,3,118,118,120,0.94,0.000%,1.36054,43.58,12.73,32803.0
openPost,5,86,1,243,105.76,0.000%,2.39120,68.92,5.85,29512.2
search,1,123,123,123,0.00,0.000%,8.13008,235.56,76.18,29669.0
randomDate,2,132,106,158,26.00,0.000%,1.81488,51.62,17.00,29126.0
randomPageParseFirst,2,133,114,152,19.00,0.000%,4.35730,131.69,40.78,30949.0
Anonymous Script,1,2045,2045,2045,0.00,0.000%,.41563,222.70,55.67,548669.0
Debug Sampler,1,0,0,0,0.00,0.000%,.00000,0.00,0.00,3244.0
Main Script,1,8618,8618,8618,0.00,0.000%,.10939,264.06,65.64,2472000.0
TOTAL,71,271,0,8618,1024.82,0.000%,7.76635,586.74,145.93,77361.5
